iteration,system,target_emotion,control_params,judged_V,judged_A,judged_D,judge_family,judge_confidence,distance_to_target,accepted
102,indextts2-fair-gen,anger,"emo_vector=[0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];sent=s3",0.16,0.8,0.588,anger,1.0,0.615,1
103,indextts2-fair-gen,sadness,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];sent=s2",-0.01,0.235,-0.068,joy,0.8,0.312,0
104,indextts2-fair-gen,sadness,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];sent=s3",0.031,0.297,-0.026,sadness,0.4,0.328,1
105,indextts2-fair-gen,joy,"emo_vector=[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];sent=s2",0.103,0.538,0.303,joy,0.8,0.231,1
106,indextts2-fair-gen,joy,"emo_vector=[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];sent=s3",0.266,0.6,0.354,neutral,0.4,0.169,0
107,elevenlabs-fair-gen,sadness,v3;tags=[crying];stab=0.0;voice=charlie;sent=s2,0.155,0.411,0.128,joy,0.8,0.478,0
108,elevenlabs-fair-gen,sadness,v3;tags=[crying];stab=0.0;voice=charlie;sent=s3,0.395,0.534,0.214,joy,0.6,0.747,0
109,elevenlabs-fair-gen,joy,v3;tags=[excited][laughs];stab=0.0;voice=charlie;sent=s2,0.551,0.585,0.291,joy,0.6,0.271,1
110,elevenlabs-fair-gen,joy,v3;tags=[excited][laughs];stab=0.0;voice=charlie;sent=s3,0.718,0.684,0.397,joy,0.6,0.478,1
111,elevenlabs-fair-gen,anger,v3;tags=[angry];stab=0.0;voice=laura;sent=s2,0.245,0.516,0.272,joy,0.8,0.704,0
112,elevenlabs-fair-gen,anger,v3;tags=[angry];stab=0.0;voice=laura;sent=s3,0.456,0.684,0.506,joy,0.8,0.881,0
113,hume-octave-fair-gen,sadness,"octave;desc=grieving at a funeral, hollow and drained, almost whispering;sent=s2",0.263,0.273,-0.0,neutral,1.0,0.56,0
114,hume-octave-fair-gen,sadness,"octave;desc=grieving at a funeral, hollow and drained, almost whispering;sent=s3",-0.015,0.311,-0.028,anger,0.4,0.279,0
115,hume-octave-fair-gen,joy,"octave;desc=overflowing warm happiness, melodious laughter in every word;sent=s2",0.218,0.591,0.4,neutral,0.41,0.226,0
116,hume-octave-fair-gen,joy,"octave;desc=overflowing warm happiness, melodious laughter in every word;sent=s3",0.398,0.701,0.484,joy,0.8,0.333,1
117,hume-octave-fair-gen,anger,"octave;desc=furious, harsh, clipped, seething with rage;sent=s2",-0.098,0.644,0.488,joy,0.8,0.336,0
118,hume-octave-fair-gen,anger,"octave;desc=furious, harsh, clipped, seething with rage;sent=s3",0.376,0.773,0.598,joy,0.8,0.821,0
119,openai-tts-fair-gen,sadness,"4o-mini-tts;voice=coral;instr=Speak with deep melancholy: low pitch, trembling, exhausted ;sent=s2",0.106,0.328,0.129,joy,0.4,0.439,0
120,openai-tts-fair-gen,sadness,"4o-mini-tts;voice=coral;instr=Speak with deep melancholy: low pitch, trembling, exhausted ;sent=s3",0.162,0.484,0.268,joy,0.6,0.564,0
121,openai-tts-fair-gen,joy,"4o-mini-tts;voice=coral;instr=Speak with genuine delight: warm, bright, smiling while spea;sent=s2",0.065,0.504,0.383,joy,0.8,0.313,1
